customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,,,,,,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
000172a9c322560c849754ffbdfdb2180d408aa7176b943f957804686be8e1f0,,,ACTIVE,NONE,45,4ca377c955c160866d5662b33aa1af44d54d4342fb8bfa9c36b6e1f53121cb54
002156b708c7c6dd8afe31a743131d13b1e5dcbf2ce8c4a8f9b9ac59a5d9b76f,,,ACTIVE,NONE,58,60d2affc3b1f36e71ed6e65fa2a8b633bf69d758c7b11e77733e30ac39e0cf9c
002611889659ab1051fc3e4e870f2b603c3aaa902ffe6ab59e83461c76c879dc,1.0,1.0,ACTIVE,Regularly,47,4a5f57f9b72897afe1af7fbb1e958803dc76b9256746efd4cd9d9b94063d08a9
0027fa7c2b335270f60a65c6d2fabc03a204ab2d41093e8fa4471d6b77b1f3be,,,ACTIVE,NONE,22,9337d18308973ce4b9dee7195ca995650e92d3e31542b2651d9db773d336e220
00310e3c2086d6dc7cbfc6ffe17cafc53509e9cda9bd28ad0a0c93d1dda2e259,,,ACTIVE,NONE,44,688d03e3b9525433948a33278f40050ed767ed01b52efbba7a3ab969cdfafef2
003d55afd19a2ac649a6f8210ea937b1a2c985cb6849c98cce915494d38435e3,,,ACTIVE,NONE,60,9df7fb4a7c66c707b9090e22e923bcbebbd0a58663422b161019f566875b5f04
004d932f7a27ac3167c77db81d9cfd89392729e7f7e0d4c27e57ba355fc93988,,,ACTIVE,NONE,57,b5184e0cec08d02d43909bab00680b7ce1e2be22f60b3c70ecb82ca66ae36935
00538a4252a09ffaf7af1a083fc02d0b0cc4b7f0530294c4837c25467ded4a07,,,ACTIVE,NONE,26,031c8468d3cff92d2464b0da7edf35c1a2bbd71a7856318f8a2470133770d4fa
00d7ebd46f6a6d53630d41386b6ef6a505cdc4c80011ff6bbe548413ef36456f,1.0,1.0,ACTIVE,Regularly,22,34c6a073266c996734771f0078648d25b936a9784cedc4dc197954053d2ddd4f
